,gene_id,gene_name
2452,ENSG00000162783,IER5
2464,ENSG00000135821,GLUL
2482,ENSG00000116701,NCF2
2499,ENSG00000116679,IVNS1ABP
2507,ENSG00000047410,TPR
2541,ENSG00000090104,RGS1
2543,ENSG00000116741,RGS2
2620,ENSG00000134375,TIMM17A
2627,ENSG00000143851,PTPN7
2639,ENSG00000183155,RABIF
2641,ENSG00000159346,ADIPOR1
2654,ENSG00000159388,BTG2
2662,ENSG00000182004,SNRPE
2676,ENSG00000198625,MDM4
2697,ENSG00000069275,NUCKS1
2699,ENSG00000117280,RAB7L1
2717,ENSG00000136653,RASSF5
2726,ENSG00000162894,FAIM3
2736,ENSG00000196352,CD55
2759,ENSG00000009790,TRAF3IP3
2770,ENSG00000082512,TRAF5
2786,ENSG00000066027,PPP2R5A
2794,ENSG00000162772,ATF3
2841,ENSG00000136628,EPRS
2884,ENSG00000162909,CAPN2
2891,ENSG00000143753,DEGS1
2905,ENSG00000143742,SRP9
2915,ENSG00000163041,H3F3A
2926,ENSG00000163050,ADCK3
2939,ENSG00000143761,ARF1
2941,ENSG00000162910,MRPL55
2965,ENSG00000168118,RAB4A
2996,ENSG00000116906,GNPAT
2999,ENSG00000135766,EGLN1
3002,ENSG00000116918,TSNAX
3026,ENSG00000168264,IRF2BP2
3039,ENSG00000173726,TOMM20
3047,ENSG00000143669,LYST
3112,ENSG00000035687,ADSS
3115,ENSG00000203667,COX20
3117,ENSG00000153187,HNRNPU
3206,ENSG00000143727,ACP1
3245,ENSG00000032389,TSSC1
3249,ENSG00000182551,ADI1
3302,ENSG00000119185,ITGB1BP1
3304,ENSG00000134330,IAH1
3308,ENSG00000134308,YWHAQ
3326,ENSG00000115758,ODC1
3335,ENSG00000143870,PDIA6
3407,ENSG00000068697,LAPTM4A
3412,ENSG00000143878,RHOB
3446,ENSG00000115128,SF3B14
3454,ENSG00000198399,ITSN2
3477,ENSG00000084754,HADHA
3478,ENSG00000138029,HADHB
3502,ENSG00000138073,PREB
3506,ENSG00000138085,ATRAID
3517,ENSG00000115234,SNX17
3519,ENSG00000115241,PPM1G
3520,ENSG00000115216,NRBP1
3549,ENSG00000163811,WDR43
3558,ENSG00000119801,YPEL5
3559,ENSG00000213626,LBH
3572,ENSG00000162961,DPY30
3610,ENSG00000115816,CEBPZ
3616,ENSG00000163171,CDC42EP3
3656,ENSG00000143924,EML4
3657,ENSG00000115944,COX7A2L
3752,ENSG00000115306,SPTBN1
3758,ENSG00000115310,RTN4
3801,ENSG00000115484,CCT4
3803,ENSG00000173163,COMMD1
3814,ENSG00000014641,MDH1
3815,ENSG00000169764,UGP2
3837,ENSG00000138071,ACTR2
3873,ENSG00000115956,PLEK
3877,ENSG00000163219,ARHGAP25
3891,ENSG00000124380,SNRNP27
3902,ENSG00000143977,SNRPG
3937,ENSG00000135624,CCT7
3944,ENSG00000144048,DUSP11
3948,ENSG00000114956,DGUOK
3956,ENSG00000114978,MOB1A
3958,ENSG00000065911,MTHFD2
3979,ENSG00000115307,AUP1
3990,ENSG00000115350,POLE4
3996,ENSG00000115364,MRPL19
4023,ENSG00000163541,SUCLG1
4035,ENSG00000042493,CAPG
4040,ENSG00000168899,VAMP5
4041,ENSG00000168894,RNF181
4046,ENSG00000115523,GNLY
4059,ENSG00000115561,CHMP3
4064,ENSG00000153563,CD8A
4065,ENSG00000172116,CD8B
4073,ENSG00000172086,KRCC1
4081,ENSG00000153574,RPIA
4087,ENSG00000172005,MAL
4089,ENSG00000144029,MRPS5
4105,ENSG00000158050,DUSP2
4107,ENSG00000084090,STARD7
4109,ENSG00000144021,CIAO1
4115,ENSG00000196843,ARID5A
4122,ENSG00000213337,ANKRD39
4130,ENSG00000135940,COX5B
4131,ENSG00000115073,ACTR1B
4133,ENSG00000115085,ZAP70
4141,ENSG00000071073,MGAT4A
4149,ENSG00000158411,MITD1
4154,ENSG00000158417,EIF5B
4164,ENSG00000115539,PDCL3
4175,ENSG00000163162,RNF149
4179,ENSG00000071054,MAP4K4
4255,ENSG00000169756,LIMS1
4269,ENSG00000175701,LINC00116
4300,ENSG00000125611,CHCHD5
4334,ENSG00000115091,ACTR3
4343,ENSG00000088205,DDX18
4395,ENSG00000136732,GYPC
4399,ENSG00000136717,BIN1
4409,ENSG00000072163,LIMS2
4430,ENSG00000152082,MZT2B
4432,ENSG00000136710,CCDC115
4434,ENSG00000072135,PTPN18
4455,ENSG00000173272,MZT2A
4485,ENSG00000144224,UBXN4
4489,ENSG00000115866,DARS
4509,ENSG00000075884,ARHGAP15
4541,ENSG00000168288,MMADHC
4555,ENSG00000123609,NMI
4559,ENSG00000162980,ARL5A
4576,ENSG00000153234,NR4A2
4581,ENSG00000115165,CYTIP
4600,ENSG00000136536,MARCH7
4601,ENSG00000241399,CD302
4608,ENSG00000136560,TANK
4622,ENSG00000115271,GCA
4663,ENSG00000138398,PPIG
4667,ENSG00000138385,SSB
4668,ENSG00000138382,METTL5
4711,ENSG00000138430,OLA1
4720,ENSG00000115935,WIPF1
4727,ENSG00000154518,ATP5G3
4731,ENSG00000144320,KIAA1715
4756,ENSG00000170144,HNRNPA3
4774,ENSG00000116095,PLEKHA3
4791,ENSG00000170035,UBE2E3
4796,ENSG00000115232,ITGA4
4819,ENSG00000065548,ZC3H15
4842,ENSG00000128699,ORMDL1
4857,ENSG00000115415,STAT1
4862,ENSG00000173559,NABP1
4880,ENSG00000081320,STK17B
4881,ENSG00000272211,RP11-347P5.1
4889,ENSG00000231621,AC013264.2
4891,ENSG00000115524,SF3B1
4894,ENSG00000115541,HSPE1
4930,ENSG00000003402,CFLAR
4948,ENSG00000116030,SUMO1
5045,ENSG00000138363,ATIC
5060,ENSG00000079246,XRCC5
5090,ENSG00000179921,GPBAR1
5133,ENSG00000115661,STK16
5134,ENSG00000127824,TUBA4A
5135,ENSG00000135924,DNAJB2
5187,ENSG00000135905,DOCK10
5198,ENSG00000168958,MFF
5215,ENSG00000079263,SP140
5216,ENSG00000185404,SP140L
5217,ENSG00000067066,SP100
5221,ENSG00000135916,ITM2C
5228,ENSG00000173692,PSMD1
5233,ENSG00000115053,NCL
5253,ENSG00000135930,EIF4E2
5287,ENSG00000188042,ARL4C
5317,ENSG00000184182,UBE2F
5345,ENSG00000130414,NDUFA10
5350,ENSG00000172428,MYEOV2
5373,ENSG00000122085,MTERFD2
5375,ENSG00000115685,PPP1R7
5379,ENSG00000168385,SEPT2
5388,ENSG00000168393,DTYMK
5422,ENSG00000113851,CRBN
5463,ENSG00000206573,SETD5-AS1
5464,ENSG00000134077,THUMPD3
5468,ENSG00000163719,MTMR14
5473,ENSG00000171148,TADA3
5474,ENSG00000241553,ARPC4
5480,ENSG00000171135,JAGN1
5499,ENSG00000157020,SEC13
5516,ENSG00000075975,MKRN2
5541,ENSG00000154781,CCDC174
5592,ENSG00000170142,UBE2E1
5602,ENSG00000151092,NGLY1
5616,ENSG00000187118,CMC1
5628,ENSG00000163527,STT3B
5641,ENSG00000170266,GLB1
5643,ENSG00000170275,CRTAP
5652,ENSG00000170248,PDCD6IP
5677,ENSG00000060971,ACAA1
5685,ENSG00000157036,EXOG
5701,ENSG00000114784,EIF1B
5721,ENSG00000008324,SS18L2
5722,ENSG00000114857,NKTR
5773,ENSG00000075914,EXOSC7
5808,ENSG00000160799,CCDC12
5833,ENSG00000213689,TREX1
5834,ENSG00000164054,SHISA5
5838,ENSG00000010256,UQCRC1
5857,ENSG00000178057,NDUFAF3
5871,ENSG00000233276,GPX1
5872,ENSG00000067560,RHOA
5896,ENSG00000004534,RBM6
5897,ENSG00000003756,RBM5
5901,ENSG00000114353,GNAI2
5915,ENSG00000114395,CYB561D2
5927,ENSG00000179837,RBM15B
5930,ENSG00000164081,TEX264
5943,ENSG00000114779,ABHD14B
5944,ENSG00000248487,ABHD14A
5954,ENSG00000247596,TWF2
5964,ENSG00000010322,NISCH
5970,ENSG00000016864,GLT8D1
5971,ENSG00000114902,SPCS1
5984,ENSG00000163932,PRKCD
5985,ENSG00000163931,TKT
5993,ENSG00000113811,SELK
6007,ENSG00000180376,CCDC66
6033,ENSG00000168291,PDHB
6063,ENSG00000163636,PSMD6
6081,ENSG00000144749,LRIG1
6084,ENSG00000172340,SUCLG2
6091,ENSG00000144744,UBA3
6100,ENSG00000114861,FOXP1
6207,ENSG00000114354,TFG
6212,ENSG00000081154,PCNP
6219,ENSG00000144802,NFKBIZ
6235,ENSG00000196776,CD47
6237,ENSG00000114446,IFT57
6275,ENSG00000144848,ATG3
6343,ENSG00000138495,COX17
6353,ENSG00000065518,NDUFB4
6365,ENSG00000145088,EAF2
6368,ENSG00000114013,CD86
6370,ENSG00000121552,CSTA
6372,ENSG00000114023,FAM162A
6377,ENSG00000163840,DTX3L
6438,ENSG00000114626,ABTB1
6467,ENSG00000184897,H1FX
6470,ENSG00000129071,MBD4
6489,ENSG00000198585,NUDT16
6490,ENSG00000114686,MRPL3
6518,ENSG00000129055,ANAPC13
6553,ENSG00000175110,MRPS22
6581,ENSG00000114125,RNF7
