,mean,var,cv2,highly_variable
42,1.0774754561118827,1.5607063983856264,1.3443305388598719,False
53,0.22200193335460366,0.2897188223583695,5.878335727249541,True
57,0.24764014221525477,0.3710432929675806,6.0502791730869525,True
67,0.49932873196372607,0.6208740760481264,2.4901681363326484,True
68,0.18018415568422538,0.26093250937439905,8.036771416029156,True
70,0.43037569304947354,0.5336015641698177,2.8808409327466706,True
81,0.5953530808524835,0.904051547138248,2.550602363174209,True
85,0.18767337676852636,0.283349299554175,8.044600407567337,True
94,0.23761040579037446,0.3533550674033039,6.258535494998639,True
113,0.346365770702555,0.4279473542958528,3.567112384855428,True
121,0.37100078740483083,0.5068240228078364,3.6821745650231725,True
151,0.20734087563508677,0.3706504494823644,8.621534540796961,True
163,0.19268694631892933,0.35967848432924776,9.687197948125734,True
166,1.6806555353043742,1.2233811192700688,0.4331159720058328,False
201,0.7609288137011567,1.0588080521412038,1.828640887363112,True
210,0.7825356791365625,0.9529946516845718,1.556257502475206,False
227,0.2648915981785535,0.4383505768829602,6.247108170233531,True
248,0.18840014190700427,0.28518485242278563,8.034368885021863,True
263,0.3307958979145382,0.5401855587792819,4.936495779829814,True
276,0.16078218481087042,0.21098389945075904,8.161249659182026,True
326,0.437433822179631,0.5763555642036656,3.0120591883811163,True
361,0.2075533209060632,0.35125611189345646,8.153694495690024,True
363,0.2922949105472391,0.5448993093926664,6.377767268354179,True
371,0.19106742639103164,0.2924857684686111,8.011605122595968,True
405,0.20541303051773915,0.24792875845880663,5.875713795283185,True
410,0.4713749685173858,0.8534994576967163,3.841211868995231,True
412,1.1403316802710022,1.1917834310487316,0.9165045587430749,False
415,0.2978870999487801,0.41999172983584965,4.732955832186263,True
439,0.31675504997918225,0.629433039596626,6.273329691639741,True
446,0.40259801499131675,0.7622553539085837,4.702778732198181,True
457,0.18723067675390692,0.3004175428797764,8.569567163341711,True
464,0.741103280314577,0.9828739961901989,1.7895324718515517,True
492,4.4747176813039236,0.19774600021755617,0.00987589368580986,False
517,0.2336995016221233,0.46001013746294755,8.422555439120258,True
524,0.7560580666303465,1.069448753543464,1.8708928537126295,True
525,0.32124780303036427,0.48995555469292035,4.747578395919093,True
528,0.34723938274820837,0.7280247634587823,6.037881690498961,True
531,0.21403101748308961,0.3746126185476947,8.177479980910187,True
556,2.437664286994346,0.9404893340486495,0.15827270034619811,False
558,2.361427497205182,1.5019928540898535,0.2693509778805977,False
565,0.1832752667881852,0.28749787540874033,8.558821909361077,True
